ID,Manufacturer,Model,Category,Mileage,Gear box type,Doors,Wheel,Color,Interior color,VIN,Leather interior,Price,Customs
45613673,SUBARU,XV,Sedan,135094 km,Automatic,4/5,Left wheel,,,JF2GPADC7F8214838,1,125,765
45709647,NISSAN,Juke,Jeep,86400 km,Automatic,4/5,Left wheel,Blue,Black,,1,5700,
45776062,BMW,X5,Jeep,250000 km,Tiptronic,4/5,Left wheel,Blue,Beige,,1,5400,
45380598,TOYOTA,Corolla LE,Sedan,66239 km,Automatic,4/5,Left wheel,White,Black,5YFBURHE5EP121217,1,5700,584
45451197,VOLKSWAGEN,Jetta,Sedan,1234 km,Tiptronic,4/5,Left wheel,Blue,Black,,0,2500,
45759562,HONDA,FIT,Jeep,147293 km,Automatic,4/5,Left wheel,Black,,3HGGK5H80FM770304,1,Price negotiable,595
45613660,SUBARU,XV,Sedan,142211 km,Automatic,4/5,Left wheel,Black,,JF2GPACC0E8314506,1,3350,639
45546312,MITSUBISHI,Pajero,Jeep,287745 km,Automatic,4/5,Right-hand drive,Silver,Beige,,0,2500,
45791296,VOLKSWAGEN,Touareg,Jeep,1000 km,Tiptronic,4/5,Left wheel,Silver,Black,,1,4145,
45759552,HONDA,FIT,Jeep,31869 km,Automatic,4/5,Left wheel,Black,,JHMGK5H76GX043507,1,275,690
45066256,HONDA,Insight EX,Hatchback,66334 km,Automatic,4/5,Left wheel,Silver,Beige,JHMZE2H75DS004611,1,3950,447
22512374,MERCEDES-BENZ,Sprinter,Microbus,150000 km,Manual,4/5,Left wheel,White,Black,,0,Price negotiable,
45743631,JEEP,Compass,Jeep,105568 km,Automatic,4/5,Left wheel,Red,Black,,1,9625,751
44989563,OPEL,Vectra,Hatchback,245000 km,Manual,4/5,Left wheel,Green,Grey,,0,1200,
45613644,SUBARU,Forester,Jeep,130469 km,Automatic,4/5,Left wheel,Silver,,JF2SJAHC6EH508686,1,Price negotiable,777
